sample_id,orb_keypoints,orb_self_match_retention,seg_mean_iou,seg_classes_present,gt_detection_objects,yolo_detection_objects
frankfurt_000001_030067,800.0,1.0,0.4426941130653302,14,22,139
frankfurt_000001_030310,800.0,1.0,0.4601317554234989,13,27,170
frankfurt_000001_030669,800.0,1.0,0.5171424758386175,13,12,180
frankfurt_000001_031266,800.0,1.0,0.4613421901158977,13,28,199
frankfurt_000001_031416,800.0,1.0,0.46725561589691283,13,29,172
frankfurt_000001_032018,800.0,1.0,0.5039921563620282,12,38,155
frankfurt_000001_032556,800.0,1.0,0.3432288367746081,14,34,144
frankfurt_000001_032711,800.0,1.0,0.44976112629210685,11,34,220
frankfurt_000001_032942,800.0,1.0,0.4445396027776397,11,31,229
frankfurt_000001_033655,800.0,1.0,0.44500691776526935,11,46,186
frankfurt_000001_034047,800.0,1.0,0.478637332250479,13,25,145
frankfurt_000001_034816,800.0,1.0,0.2343939105908376,16,10,128
frankfurt_000001_035144,800.0,1.0,0.5474312227797072,14,36,139
frankfurt_000001_035864,800.0,1.0,0.5703948869604213,13,13,74
frankfurt_000001_037705,800.0,1.0,0.47905967693440205,14,31,190
frankfurt_000001_038245,800.0,1.0,0.38303814948009995,14,50,224
frankfurt_000001_038418,800.0,1.0,0.366608379184812,15,17,246
frankfurt_000001_038645,800.0,1.0,0.43256631131113515,14,49,198
frankfurt_000001_038844,800.0,1.0,0.3835378590954608,15,19,166
frankfurt_000001_039895,800.0,1.0,0.4827891023950209,14,7,137
frankfurt_000001_040575,800.0,1.0,0.43377815367055755,15,24,101
frankfurt_000001_040732,800.0,1.0,0.4508463408513388,16,18,186
frankfurt_000001_041074,800.0,1.0,0.404734795009196,14,12,154
frankfurt_000001_041354,800.0,1.0,0.4262024017745049,12,3,105
frankfurt_000001_041517,800.0,1.0,0.5720691260487322,13,4,65
frankfurt_000001_041664,800.0,1.0,0.35792791661175133,14,6,83
frankfurt_000001_042098,800.0,1.0,0.317500238290355,16,15,147
frankfurt_000001_042384,800.0,1.0,0.47637340148244406,14,10,110
frankfurt_000001_042733,800.0,1.0,0.46501228818298124,14,12,192
frankfurt_000001_043395,800.0,1.0,0.5334244371556551,13,11,115
frankfurt_000001_043564,800.0,1.0,0.45254294025490877,13,7,200
frankfurt_000001_044227,800.0,1.0,0.44571050252732974,13,7,166
frankfurt_000001_044413,800.0,1.0,0.35852751584977754,13,10,132
frankfurt_000001_044525,800.0,1.0,0.36110135181764624,17,17,123
frankfurt_000001_044658,800.0,1.0,0.437760610425177,15,19,176
frankfurt_000001_044787,800.0,1.0,0.28916861908527225,16,16,210
frankfurt_000001_046126,800.0,1.0,0.3748263665825419,16,14,137
frankfurt_000001_046272,800.0,1.0,0.5513184807132411,12,28,188
frankfurt_000001_046504,800.0,1.0,0.5096617667738923,12,25,117
frankfurt_000001_046779,800.0,1.0,0.3722591242727843,14,27,214
frankfurt_000001_047178,800.0,1.0,0.47085630962128827,12,16,208
frankfurt_000001_047552,800.0,1.0,0.602574238679282,10,25,157
frankfurt_000001_048196,800.0,1.0,0.4879628121018603,13,19,121
frankfurt_000001_048355,800.0,1.0,0.45513716779888397,12,10,124
frankfurt_000001_048654,800.0,1.0,0.43338178995277765,15,21,149
frankfurt_000001_049078,800.0,1.0,0.42676816885928787,12,16,114
frankfurt_000001_049209,800.0,1.0,0.31043104306439945,17,25,131
frankfurt_000001_049298,800.0,1.0,0.49773313066310154,13,19,105
frankfurt_000001_049698,800.0,1.0,0.4830995996308293,13,23,139
frankfurt_000001_049770,800.0,1.0,0.4111191995844022,15,29,137
frankfurt_000001_050149,800.0,1.0,0.4648744456829702,15,26,211
frankfurt_000001_050686,800.0,1.0,0.49424298129006977,13,15,131
frankfurt_000001_051516,800.0,1.0,0.32659026042744305,11,2,61
frankfurt_000001_051737,800.0,1.0,0.4958286997506611,13,28,98
frankfurt_000001_051807,800.0,1.0,0.506946595329837,12,33,171
frankfurt_000001_052120,800.0,1.0,0.5085172536844019,13,19,160
frankfurt_000001_052594,800.0,1.0,0.5684741738647162,13,39,195
frankfurt_000001_053102,800.0,1.0,0.5732949922679851,13,36,182
frankfurt_000001_054077,800.0,1.0,0.5846315091890892,9,11,187
frankfurt_000001_054219,800.0,1.0,0.47696640010993496,12,26,184
frankfurt_000001_054415,800.0,1.0,0.4326050323523056,14,40,214
frankfurt_000001_054640,800.0,1.0,0.49489711750274645,14,49,218
frankfurt_000001_054884,800.0,1.0,0.47592755105263385,13,28,208
frankfurt_000001_055062,800.0,1.0,0.6358353769361352,10,48,251
frankfurt_000001_055172,800.0,1.0,0.5304885872254577,8,18,150
frankfurt_000001_055306,800.0,1.0,0.3948632756744811,13,31,184
frankfurt_000001_055387,800.0,1.0,0.44076279596626,13,41,278
frankfurt_000001_055538,800.0,1.0,0.589807753080306,13,23,238
frankfurt_000001_055603,800.0,1.0,0.5039261771798308,15,45,205
frankfurt_000001_055709,800.0,1.0,0.42325780760399934,14,44,257
frankfurt_000001_056580,800.0,1.0,0.446661269919069,14,27,149
frankfurt_000001_057181,800.0,1.0,0.39823935139106115,15,39,168
frankfurt_000001_057478,800.0,1.0,0.3877404589644522,16,48,228
frankfurt_000001_057954,800.0,1.0,0.4419610259956137,13,46,221
frankfurt_000001_058057,800.0,1.0,0.3854854953682714,14,24,154
frankfurt_000001_058176,800.0,1.0,0.30675719948489244,14,38,127
frankfurt_000001_058504,800.0,1.0,0.504664563992913,10,19,164
