distortion,level,condition,class_name,map_50_95,ap_50,precision_50,recall_50,mean_matched_iou_50,operating_confidence,precision_50_at_operating_confidence,recall_50_at_operating_confidence,f1_50_at_operating_confidence,gt_count,prediction_count,operating_prediction_count
SevereJPEG,20.0,restored,car,0.3159331304423212,0.5150256756800208,0.0888698210345673,0.6376429199648197,0.7600008594380867,0.25,0.8196428571428571,0.40369393139841686,0.5409546258102533,1137.0,8158.0,560.0
SevereJPEG,20.0,restored,motorcycle,0.04484666485362933,0.10356208034596563,0.048484848484848485,0.21621621621621623,0.6584049354059174,0.25,0.6,0.08108108108108109,0.14285714285714288,37.0,165.0,5.0
SevereJPEG,20.0,restored,bus,0.3242056696330795,0.41337994636902115,0.027972027972027972,0.5714285714285714,0.8219935017848411,0.25,0.8571428571428571,0.2857142857142857,0.42857142857142855,21.0,429.0,7.0
SevereJPEG,20.0,restored,train,0.031419141914191415,0.1122112211221122,0.012345679012345678,0.3333333333333333,0.5224100470541785,0.25,0.0,0.0,0.0,3.0,81.0,1.0
SevereJPEG,20.0,restored,truck,0.1737919918304594,0.21058164033684013,0.018300653594771243,0.6086956521739131,0.7924747868369179,0.25,0.2222222222222222,0.2608695652173913,0.24,23.0,765.0,27.0
SevereJPEG,5.0,distorted,person,0.11229036110384291,0.2371961564342299,0.03822454308093995,0.5118881118881119,0.6779600076976207,0.25,0.5983935742971888,0.2083916083916084,0.3091286307053942,715.0,9575.0,249.0
SevereJPEG,5.0,distorted,bicycle,0.043030791486082784,0.07775007679494475,0.060382916053019146,0.1474820143884892,0.6934434923488527,0.25,0.5833333333333334,0.050359712230215826,0.09271523178807947,278.0,679.0,24.0
SevereJPEG,5.0,distorted,car,0.250350189720869,0.43789146124516765,0.06378217083177919,0.6015831134564644,0.73843962086746,0.25,0.8134831460674158,0.31838170624450307,0.4576485461441214,1137.0,10724.0,445.0
SevereJPEG,5.0,distorted,motorcycle,0.012699824139256799,0.0863093735396181,0.019553072625698324,0.1891891891891892,0.6159408996093337,0.25,1.0,0.05405405405405406,0.10256410256410257,37.0,358.0,2.0
SevereJPEG,5.0,distorted,bus,0.1859387284983719,0.19762086098719758,0.011881188118811881,0.2857142857142857,0.88072479262747,0.25,0.4444444444444444,0.19047619047619047,0.26666666666666666,21.0,505.0,9.0
SevereJPEG,5.0,distorted,train,0.01122112211221122,0.02805280528052805,0.003246753246753247,0.3333333333333333,0.685235852344297,0.25,0.0,0.0,0.0,3.0,308.0,6.0
SevereJPEG,5.0,distorted,truck,0.1337519303759947,0.15901390475881738,0.007527504342790967,0.5652173913043478,0.7676449654407556,0.25,0.08955223880597014,0.2608695652173913,0.13333333333333333,23.0,1727.0,67.0
SevereJPEG,5.0,restored,person,0.11407377468771399,0.23377715726891857,0.038126247242936666,0.5076923076923077,0.6883071169817105,0.25,0.5984251968503937,0.2125874125874126,0.3137254901960785,715.0,9521.0,254.0
SevereJPEG,5.0,restored,bicycle,0.04540121878769958,0.08181613281567751,0.06748466257668712,0.15827338129496402,0.6919271905796214,0.25,0.6086956521739131,0.050359712230215826,0.09302325581395349,278.0,652.0,23.0
SevereJPEG,5.0,restored,car,0.2520625985178256,0.437022660435957,0.06331938633193863,0.5989445910290238,0.7402626528500893,0.25,0.8135964912280702,0.32629727352682497,0.46578782172002514,1137.0,10755.0,456.0
SevereJPEG,5.0,restored,motorcycle,0.020990234981737806,0.09321727837863374,0.020710059171597635,0.1891891891891892,0.6245809427404726,0.25,1.0,0.05405405405405406,0.10256410256410257,37.0,338.0,2.0
SevereJPEG,5.0,restored,bus,0.18450440066631096,0.1975005192826975,0.012474012474012475,0.2857142857142857,0.8862931857229005,0.25,0.4444444444444444,0.19047619047619047,0.26666666666666666,21.0,481.0,9.0
SevereJPEG,5.0,restored,train,0.01224122412241224,0.0306030603060306,0.003215434083601286,0.3333333333333333,0.6756142766952783,0.25,0.0,0.0,0.0,3.0,311.0,6.0
SevereJPEG,5.0,restored,truck,0.1504836429220266,0.17635870451960597,0.007756563245823389,0.5652173913043478,0.7752997256418731,0.25,0.10714285714285714,0.2608695652173913,0.15189873417721517,23.0,1676.0,56.0
LowLight,0.8,distorted,person,0.18834355125890803,0.3516412487763921,0.06342430248513493,0.5818181818181818,0.7212879308452339,0.25,0.6515580736543909,0.32167832167832167,0.4307116104868914,715.0,6559.0,353.0
LowLight,0.8,distorted,bicycle,0.09114588404371599,0.17291003890178971,0.0653061224489796,0.34532374100719426,0.6906868716250276,0.25,0.6785714285714286,0.1366906474820144,0.22754491017964074,278.0,1470.0,56.0
LowLight,0.8,distorted,car,0.3296100049933208,0.5307702802002512,0.09925625422582826,0.6455584872471416,0.7648313302783282,0.25,0.8528368794326241,0.4230430958663149,0.5655496766607878,1137.0,7395.0,564.0
LowLight,0.8,distorted,motorcycle,0.05557241011990148,0.14113306822485527,0.07751937984496124,0.2702702702702703,0.6710489217621209,0.25,0.75,0.08108108108108109,0.14634146341463414,37.0,129.0,4.0
LowLight,0.8,distorted,bus,0.3383839074973397,0.4492851596083979,0.027777777777777776,0.5714285714285714,0.8111444469177665,0.25,0.875,0.3333333333333333,0.48275862068965514,21.0,432.0,8.0
LowLight,0.8,distorted,train,0.032060348892032055,0.1122112211221122,0.011111111111111112,0.3333333333333333,0.5774129060235109,0.25,0.0,0.0,0.0,3.0,90.0,1.0
LowLight,0.8,distorted,truck,0.1771656473719516,0.22923845767873918,0.021875,0.6086956521739131,0.7694567669479193,0.25,0.26666666666666666,0.34782608695652173,0.30188679245283023,23.0,640.0,30.0
LowLight,0.8,restored,person,0.18910395990822562,0.35321830864285203,0.06383309979760236,0.5734265734265734,0.72769132848289,0.25,0.6505681818181818,0.3202797202797203,0.42924086223055297,715.0,6423.0,352.0
LowLight,0.8,restored,bicycle,0.09474360589026198,0.18479049923839427,0.06582278481012659,0.37410071942446044,0.6755218518779486,0.25,0.6896551724137931,0.14388489208633093,0.23809523809523808,278.0,1580.0,58.0
LowLight,0.8,restored,car,0.33287802289670665,0.5348847698510782,0.09845381260737412,0.6552330694810906,0.7622136920526095,0.25,0.842560553633218,0.4283201407211961,0.567930029154519,1137.0,7567.0,578.0
LowLight,0.8,restored,motorcycle,0.059141521643866615,0.14212372588610211,0.07751937984496124,0.2702702702702703,0.6824617631293284,0.25,0.6666666666666666,0.10810810810810811,0.18604651162790697,37.0,129.0,6.0
LowLight,0.8,restored,bus,0.34007750775077505,0.46215621562156217,0.028503562945368172,0.5714285714285714,0.8119220578400307,0.25,0.875,0.3333333333333333,0.48275862068965514,21.0,421.0,8.0
LowLight,0.8,restored,train,0.0561056105610561,0.1122112211221122,0.010869565217391304,0.3333333333333333,0.710564438144991,0.25,0.0,0.0,0.0,3.0,92.0,2.0
LowLight,0.8,restored,truck,0.1750757651036306,0.22460212449234265,0.020618556701030927,0.6086956521739131,0.764708812185278,0.25,0.23333333333333334,0.30434782608695654,0.26415094339622636,23.0,679.0,30.0
LowLight,0.6,distorted,person,0.18353384673738682,0.34307457367888344,0.06333589546502691,0.5762237762237762,0.7232052616710763,0.25,0.6477611940298508,0.3034965034965035,0.41333333333333333,715.0,6505.0,335.0
LowLight,0.6,distorted,bicycle,0.08690602354869971,0.16633515950213268,0.06506364922206506,0.33093525179856115,0.6943516074841738,0.25,0.6206896551724138,0.12949640287769784,0.2142857142857143,278.0,1414.0,58.0
LowLight,0.6,distorted,car,0.32839272388601326,0.5292589918807742,0.10135696482968706,0.6437994722955145,0.7665193163482958,0.25,0.8626373626373627,0.41424802110817943,0.5597147950089127,1137.0,7222.0,546.0
LowLight,0.6,distorted,motorcycle,0.05271704362308417,0.12881767583027115,0.07317073170731707,0.24324324324324326,0.7160187188990728,0.25,0.75,0.08108108108108109,0.14634146341463414,37.0,123.0,4.0
LowLight,0.6,distorted,bus,0.34899950079041514,0.44840114263527187,0.029411764705882353,0.5714285714285714,0.8206350598357939,0.25,0.875,0.3333333333333333,0.48275862068965514,21.0,408.0,8.0
LowLight,0.6,distorted,train,0.03927392739273927,0.1122112211221122,0.009523809523809525,0.3333333333333333,0.5668680772005713,0.25,0.0,0.0,0.0,3.0,105.0,1.0
LowLight,0.6,distorted,truck,0.17547457112994644,0.2202364380120023,0.0231023102310231,0.6086956521739131,0.766607013109513,0.25,0.23333333333333334,0.30434782608695654,0.26415094339622636,23.0,606.0,30.0
