distortion,level,class_id,class_name,iou,class_accuracy,gt_pixels,pred_pixels
SevereJPEG,20.0,12,rider,0.21087447105935675,0.29459066645526133,378420,261710
SevereJPEG,20.0,13,car,0.8581784881891118,0.9395513008439542,13170027,13622703
SevereJPEG,20.0,14,truck,0.764141987096437,0.8099027358358845,866609,753766
SevereJPEG,20.0,15,bus,0.5584009064940124,0.5876661992638406,638992,409003
SevereJPEG,20.0,16,train,0.045239598772095865,0.43912200809920743,63463,580414
SevereJPEG,20.0,17,motorcycle,0.24385705685984788,0.2685254002370287,199132,73616
SevereJPEG,20.0,18,bicycle,0.48125761014838364,0.6586651208672748,1474965,1515229
SevereJPEG,5.0,0,road,0.862787969287964,0.945440121834407,83055684,86480628
SevereJPEG,5.0,1,sidewalk,0.21712261421784482,0.24861956305270227,13341609,5252389
SevereJPEG,5.0,2,building,0.6879738042114425,0.8988411248268626,54242339,65380786
SevereJPEG,5.0,3,wall,0.1356908961451137,0.2309540884114357,1259181,1174834
SevereJPEG,5.0,4,fence,0.17138023055044066,0.5306169028106632,2904866,7630372
SevereJPEG,5.0,5,pole,0.17938004030275578,0.2930462983446715,3268173,3028642
SevereJPEG,5.0,6,traffic light,0.18539014193129388,0.22458429286762116,488084,212804
SevereJPEG,5.0,7,traffic sign,0.2640331845558382,0.3043301378511922,1656714,757037
SevereJPEG,5.0,8,vegetation,0.6175831136950819,0.7154564351123097,37874102,33099481
SevereJPEG,5.0,9,terrain,0.04394174499236581,0.05178981410272662,1774905,408923
SevereJPEG,5.0,10,sky,0.7987192037261582,0.821933550538669,7910794,6732070
SevereJPEG,5.0,11,person,0.22488797798277346,0.2626796055809189,3186357,1372447
SevereJPEG,5.0,12,rider,0.08419624366207241,0.0934675757095291,378420,77040
SevereJPEG,5.0,13,car,0.6921910268911385,0.8002656334721258,13170027,12595810
SevereJPEG,5.0,14,truck,0.1769371163099386,0.3814684592474807,866609,1332345
SevereJPEG,5.0,15,bus,0.22772957105006125,0.2641738863710344,638992,271065
SevereJPEG,5.0,16,train,0.0,0.0,63463,590673
SevereJPEG,5.0,17,motorcycle,0.23239386192921024,0.32595966494586504,199132,145083
SevereJPEG,5.0,18,bicycle,0.2805973876681082,0.39916201401389184,1474965,1211987
LowLight,0.8,0,road,0.9611058399454312,0.9792897015934514,83055684,82906967
LowLight,0.8,1,sidewalk,0.7313953063338094,0.8098705336065537,13341609,12236467
LowLight,0.8,2,building,0.8676946860941661,0.9491227692080166,54242339,56572966
LowLight,0.8,3,wall,0.3621443684560119,0.48105157241095603,1259181,1019173
LowLight,0.8,4,fence,0.39147833946599786,0.5797052256455203,2904866,3080656
LowLight,0.8,5,pole,0.3019983529759225,0.40799370167980703,3268173,2480457
LowLight,0.8,6,traffic light,0.40048123461570373,0.44501151441145376,488084,271474
LowLight,0.8,7,traffic sign,0.5198295848440545,0.5942715519999228,1656714,1221787
LowLight,0.8,8,vegetation,0.865809880135968,0.9418600340676064,37874102,38998851
LowLight,0.8,9,terrain,0.5104935608921298,0.6127680073017993,1774905,1443197
LowLight,0.8,10,sky,0.9190929848235938,0.9505000383020971,7910794,7789536
LowLight,0.8,11,person,0.5666438714646863,0.7203288897006832,3186357,3159428
LowLight,0.8,12,rider,0.22378324239167857,0.2834073251942286,378420,208072
LowLight,0.8,13,car,0.8750138132050781,0.9409317839667299,13170027,13384243
LowLight,0.8,14,truck,0.7903318127044242,0.8476325540122477,866609,797397
LowLight,0.8,15,bus,0.590104632724721,0.6790757943761424,638992,530266
LowLight,0.8,16,train,0.2614906260682075,0.6268061705245577,63463,128440
LowLight,0.8,17,motorcycle,0.38403657195558866,0.43494265110579916,199132,113007
LowLight,0.8,18,bicycle,0.5455975852890222,0.6909404629940371,1474965,1412032
LowLight,0.6,0,road,0.9598809012655276,0.9790296712263546,83055684,82970866
LowLight,0.6,1,sidewalk,0.7244924815221384,0.8028213088841084,13341609,12153362
LowLight,0.6,2,building,0.8669699824506137,0.9494576920807195,54242339,56661684
LowLight,0.6,3,wall,0.36549615927261325,0.4851192957962358,1259181,1022970
LowLight,0.6,4,fence,0.39009734656694905,0.5750643919547408,2904866,3047845
LowLight,0.6,5,pole,0.3009646902778023,0.40629795301533916,3268173,2471665
LowLight,0.6,6,traffic light,0.39475256406699405,0.43726284819826094,488084,265982
