distortion,level,class_name,map_50_95,ap_50,precision_50,recall_50,mean_matched_iou_50,gt_count,prediction_count
LowLight,0.6,person,0.18351410764177528,0.34062940530338504,0.06292307692307693,0.5720279720279721,0.724176753162122,715.0,6500.0
LowLight,0.6,bicycle,0.08572257624921208,0.16409230089062093,0.06463068181818182,0.3273381294964029,0.693772666947006,278.0,1408.0
LowLight,0.6,car,0.32745418719786235,0.5238382346174737,0.10004151100041511,0.6358839050131926,0.7694471622335389,1137.0,7227.0
LowLight,0.6,motorcycle,0.0535827709157078,0.12885695392793106,0.07377049180327869,0.24324324324324326,0.7168422368048644,37.0,122.0
LowLight,0.6,bus,0.3423843337792085,0.45057718441527406,0.029339853300733496,0.5714285714285714,0.8197119222820072,21.0,409.0
LowLight,0.6,train,0.03927392739273927,0.1122112211221122,0.009523809523809525,0.3333333333333333,0.5655027574754986,3.0,105.0
LowLight,0.6,truck,0.17550060302309783,0.22030376206641164,0.023333333333333334,0.6086956521739131,0.7666684128575636,23.0,600.0
LowLight,0.4,person,0.17429318948142117,0.3245793819372933,0.06309198908331995,0.5496503496503496,0.7245020425692874,715.0,6229.0
LowLight,0.4,bicycle,0.07842762792932527,0.1570109780883291,0.06356589147286822,0.2949640287769784,0.6875554350567946,278.0,1290.0
LowLight,0.4,car,0.3212070186945018,0.5099232264515973,0.10042553191489362,0.6226912928759895,0.7707269664691477,1137.0,7050.0
LowLight,0.4,motorcycle,0.054232625312306916,0.1440059286874157,0.08823529411764706,0.24324324324324326,0.6852840752679966,37.0,102.0
LowLight,0.4,bus,0.34033776002997573,0.4203807905257643,0.03234501347708895,0.5714285714285714,0.8282662642854905,21.0,371.0
LowLight,0.4,train,0.033663366336633666,0.08415841584158416,0.00847457627118644,0.3333333333333333,0.6883290756056955,3.0,118.0
LowLight,0.4,truck,0.17061195015987335,0.21677469838003335,0.024667931688804556,0.5652173913043478,0.7775324077324358,23.0,527.0
LowLight,0.25,person,0.15323488341685582,0.2899138521688494,0.06063136796392183,0.5076923076923077,0.7208474866057418,715.0,5987.0
