distortion,level,class_id,class_name,iou,class_accuracy,gt_pixels,pred_pixels
LowLight,0.1,17,motorcycle,,,0,0
LowLight,0.1,18,bicycle,0.19557842361189642,0.31269209907792445,11062,10083
MotionBlur,3.0,0,road,0.9691397321590538,0.9831086501353965,3477934,3469317
MotionBlur,3.0,1,sidewalk,0.7064473710121019,0.8008582200615141,403160,376753
MotionBlur,3.0,2,building,0.8212750484854717,0.9290729462026523,1572940,1667835
MotionBlur,3.0,3,wall,0.0,0.0,4345,1320
MotionBlur,3.0,4,fence,0.009283653243005896,0.03762074224707677,3934,12156
MotionBlur,3.0,5,pole,0.27151202101599475,0.454570760494377,107772,121652
MotionBlur,3.0,6,traffic light,0.6708260544047916,0.70312355747038,64990,48825
MotionBlur,3.0,7,traffic sign,0.6807201573453023,0.743970192689272,90716,75919
MotionBlur,3.0,8,vegetation,0.8568398922134977,0.9219537576520892,1923821,1919871
MotionBlur,3.0,9,terrain,0.5394699951776963,0.6479482223314768,148481,126065
MotionBlur,3.0,10,sky,0.91364838481882,0.9439775910364145,349503,341525
MotionBlur,3.0,11,person,0.23628366185452526,0.2795340244277943,97430,45069
MotionBlur,3.0,12,rider,0.0,0.0,5979,0
MotionBlur,3.0,13,car,0.8755568296446172,0.9569562697429909,935142,981829
MotionBlur,3.0,14,truck,0.6833414958371231,0.7981042266756553,48951,47289
MotionBlur,3.0,15,bus,,,0,0
MotionBlur,3.0,16,train,,,0,0
MotionBlur,3.0,17,motorcycle,,,0,0
MotionBlur,3.0,18,bicycle,0.21668992464415293,0.35093111553064543,11062,10735
MotionBlur,5.0,0,road,0.9680243762090333,0.9814197164178504,3477934,3461440
MotionBlur,5.0,1,sidewalk,0.6978919897329624,0.8052485365611668,403160,386662
MotionBlur,5.0,2,building,0.8167280796172232,0.9252412679441047,1572940,1664335
MotionBlur,5.0,3,wall,0.0,0.0,4345,485
MotionBlur,5.0,4,fence,0.010217983651226158,0.034316217590238944,3934,9413
MotionBlur,5.0,5,pole,0.2866496822747372,0.454143933489218,107772,111917
MotionBlur,5.0,6,traffic light,0.6721535947231261,0.7024465302354208,64990,48581
MotionBlur,5.0,7,traffic sign,0.6782082907165634,0.7455685876802328,90716,76645
MotionBlur,5.0,8,vegetation,0.8594897956725848,0.9274038489027825,1923821,1936173
MotionBlur,5.0,9,terrain,0.5403101713376788,0.6314141203251594,148481,118789
MotionBlur,5.0,10,sky,0.9126578713393454,0.9457143429384011,349503,343189
MotionBlur,5.0,11,person,0.2119735974727542,0.25413117109719796,97430,44137
MotionBlur,5.0,12,rider,0.0,0.0,5979,0
MotionBlur,5.0,13,car,0.8724801659644245,0.9570279166158723,935142,985577
MotionBlur,5.0,14,truck,0.6990944689182574,0.816959816959817,48951,48244
MotionBlur,5.0,15,bus,,,0,0
MotionBlur,5.0,16,train,,,0,0
