sample_id,distortion,level_index,level,distorted_snr_db,restored_snr_db,orb_distorted,orb_restored,canny_distorted,canny_restored,seg_distorted_image_miou,seg_restored_image_miou,detections_distorted,detections_restored
frankfurt_000001_054640,GaussNoise,4,50.0,8.104997659860803,17.952171306526992,0.47125,0.31,0.8483774524549966,0.6447512030544661,0.39852182659498075,0.4070618182362955,201,246
frankfurt_000001_058504,GaussNoise,4,50.0,6.7521905858520235,16.720409407309393,0.48125,0.29875,0.7821620447875605,0.6248251349422712,0.43987398239633,0.3846682923525637,206,246
frankfurt_000001_062250,GaussNoise,4,50.0,5.588015926034505,17.81929391319545,0.26375,0.19625,0.6088859299484446,0.6227047074259389,0.2783718149256472,0.2552645201377486,24,149
frankfurt_000001_064651,GaussNoise,4,50.0,7.6400810451322,17.926878274681965,0.48375,0.27375,0.7999692071514999,0.6079749148136201,0.4683339546209514,0.48330723192161484,217,226
frankfurt_000001_080091,GaussNoise,4,50.0,7.263002879247065,17.926397017885186,0.495,0.32375,0.8723543691364846,0.657211412823985,0.36349198670028926,0.4216714295917119,227,246
lindau_000007_000019,GaussNoise,4,50.0,5.654758543858489,17.769060596899948,0.39125,0.34125,0.8024826920134744,0.6963314402407292,0.41148576080548527,0.393426417626456,96,137
lindau_000031_000019,GaussNoise,4,50.0,4.69072978348478,16.09178303312023,0.44125,0.27125,0.8246294116473692,0.6237378176992342,0.2748506220200961,0.3303228070707597,24,131
munster_000007_000019,GaussNoise,4,50.0,5.568979300619784,17.202300415999762,0.52,0.365,0.8144298540733161,0.7505396291250056,0.30660215719569056,0.36050023525456165,63,201
munster_000094_000019,GaussNoise,4,50.0,4.619959825248686,15.443262183898312,0.51,0.33625,0.8449313684910416,0.698723780257993,0.36867897923466736,0.3776218924686946,102,246
munster_000139_000019,GaussNoise,4,50.0,6.469689600127926,17.145295641057178,0.4425,0.28875,0.8332261483544828,0.6561651319299402,0.38714716241427477,0.3731847017274648,38,271
munster_000159_000019,GaussNoise,4,50.0,7.423879716396983,18.88713140941015,0.36125,0.28,0.8965618528958339,0.8472789736363722,0.24071008999736138,0.3166422163216453,34,58
frankfurt_000000_009688,SevereJPEG,0,80.0,32.7843349804403,29.25767747341334,0.91875,0.8,0.9706434844589338,0.7541639892957068,0.4816135040010039,0.4693306817299533,68,69
frankfurt_000000_011074,SevereJPEG,0,80.0,32.30423122687639,29.466824994269896,0.90125,0.82,0.9867785474988682,0.8383538681594463,0.46222837248292253,0.451722283628534,102,109
frankfurt_000000_012868,SevereJPEG,0,80.0,30.664523971316036,27.15067159848558,0.9025,0.81375,0.9866223914203047,0.899150290010639,0.47418633494825674,0.46273622535840303,236,234
frankfurt_000000_016005,SevereJPEG,0,80.0,31.380915659768757,27.831334922758685,0.90875,0.79125,0.9806056051439567,0.8302914634863483,0.35645303511702714,0.350636902616654,98,100
frankfurt_000000_020321,SevereJPEG,0,80.0,30.970089964282145,27.332029322851362,0.91625,0.80875,0.9829190765673911,0.7989546371519876,0.48308092025145116,0.46716720620031066,174,157
frankfurt_000000_022254,SevereJPEG,0,80.0,31.47759696877984,27.80881115578176,0.88875,0.7825,0.978990373934693,0.7596679005147219,0.5328194862378846,0.5309354497528309,194,181
frankfurt_000001_010830,SevereJPEG,0,80.0,29.144509922194306,25.544880587412628,0.93125,0.85,0.9841695853898411,0.8912345900864019,0.5012002366721814,0.4992499683733213,210,215
frankfurt_000001_021406,SevereJPEG,0,80.0,31.06791988239371,27.15698464310036,0.92,0.78875,0.9809192989101324,0.856776166512572,0.5684370318028026,0.5604536507756,59,62
frankfurt_000001_046779,SevereJPEG,0,80.0,29.61804512063431,26.18577379693334,0.9125,0.8325,0.9734331562159951,0.8593881911696122,0.36956508333261745,0.3339296959834939,211,208
frankfurt_000001_054640,SevereJPEG,0,80.0,31.780544208138704,28.09664886384626,0.89375,0.76375,0.9825824491536412,0.8595787955742393,0.48655039374573594,0.483201326608635,217,215
frankfurt_000001_058504,SevereJPEG,0,80.0,31.324711824477205,27.653177191417612,0.895,0.8125,0.9812407161508677,0.8605872380276777,0.5034810251917095,0.49857446979586034,161,152
frankfurt_000001_062250,SevereJPEG,0,80.0,33.00515300556055,29.20061427553096,0.865,0.7575,0.9477501888343076,0.8037673754653115,0.37844475173345826,0.35729614618197375,123,120
frankfurt_000001_064651,SevereJPEG,0,80.0,31.65323945113736,28.206369114472945,0.91375,0.81625,0.9864223506848415,0.8577324274071704,0.4745129276969917,0.4569044179639226,196,184
frankfurt_000001_080091,SevereJPEG,0,80.0,31.186388086778013,27.454571253813164,0.89625,0.77625,0.9842774851524478,0.8766925049018541,0.4705566708583135,0.45639958031567013,259,259
lindau_000007_000019,SevereJPEG,0,80.0,32.05697068410764,29.431297701204485,0.8925,0.78,0.9742285355879603,0.8221614162471531,0.41970506801840435,0.4412000834442888,123,127
lindau_000031_000019,SevereJPEG,0,80.0,30.051730313499615,27.276010461103112,0.9175,0.82625,0.9813248260873225,0.84934771305276,0.4729075565410482,0.4303191026140782,146,131
munster_000007_000019,SevereJPEG,0,80.0,31.390350347408564,28.36733385408348,0.92,0.8125,0.9825742773728205,0.8655377157625749,0.5459003117799022,0.5331895797301082,146,142
munster_000094_000019,SevereJPEG,0,80.0,28.3368438600752,24.979111810026215,0.9325,0.8175,0.9845471514111347,0.8644347696308923,0.4256145584861254,0.4238950168129971,232,222
munster_000139_000019,SevereJPEG,0,80.0,30.57962410456282,26.868593281826083,0.90625,0.815,0.9792746032363631,0.8725174450152269,0.5709074005959676,0.5613275671514611,274,277
munster_000159_000019,SevereJPEG,0,80.0,33.89097023330556,31.4333321657087,0.85875,0.77,0.9829152675564772,0.9072015764032145,0.490842954803697,0.4744250511070184,52,49
frankfurt_000000_009688,SevereJPEG,1,60.0,31.01585264043857,28.765423654536697,0.86875,0.785,0.962549755839151,0.7462618263577305,0.47570445591419813,0.4595376372946048,64,67
